Partida,Turno,Jogador,Narração
1,1,Rule-Based (P1),Confirmou seleção (Sim/Não)
1,2,Rule-Based (P1),📌 Colocou [Pokémon Básico Inicial] como Pokémon Ativo Inicial
1,3,Random (P2),📌 Colocou [Pokémon Básico Inicial] como Pokémon Ativo Inicial
1,4,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](150/150 HP)
1,5,Rule-Based (P1),Passou o turno
1,6,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,7,Random (P2),Passou o turno
1,8,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](150/150 HP)
1,9,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,10,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,11,Rule-Based (P1),📥 Selecionou a carta [Carta do Deck/Descarte] para a Mão por efeito de [Mega Signal]
1,12,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,13,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,14,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,15,Rule-Based (P1),📥 Selecionou a carta [Carta do Deck/Descarte] para a Mão por efeito de [Mega Signal]
1,16,Rule-Based (P1),⚔️ Kyogre(150/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,17,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,18,Random (P2),⚔️ Snover(90/90 HP) atacou com [Beat] o Kyogre(150/150 HP)
1,19,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,20,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](140/150 HP)
1,21,Rule-Based (P1),🧬 Evoluiu o [Snover](90/90 HP) para [Pokémon Evoluído]
1,22,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,23,Rule-Based (P1),⚔️ Kyogre(140/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,24,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,25,Random (P2),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,26,Random (P2),⚔️ Snover(90/90 HP) atacou com [Beat] o Kyogre(140/150 HP)
1,27,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](130/150 HP)
1,28,Rule-Based (P1),⚔️ Kyogre(130/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,29,Random (P2),⚔️ Snover(90/90 HP) atacou com [Icy Snow] o Kyogre(130/150 HP)
1,30,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](100/150 HP)
1,31,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,32,Rule-Based (P1),📥 Selecionou a carta [Carta do Deck/Descarte] para a Mão por efeito de [Mega Signal]
1,33,Rule-Based (P1),🧬 Evoluiu o [Snover](90/90 HP) para [Pokémon Evoluído]
1,34,Rule-Based (P1),⚔️ Kyogre(100/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,35,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,36,Random (P2),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,37,Random (P2),📥 Selecionou a carta [Carta do Deck/Descarte] para a Mão por efeito de [Mega Signal]
1,38,Random (P2),Passou o turno
1,39,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](100/150 HP)
1,40,Rule-Based (P1),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,41,Rule-Based (P1),🎯 Selecionou a carta [Carta Selecionada] por efeito de [Waitress]
1,42,Rule-Based (P1),🎯 Selecionou a carta [Carta Selecionada] por efeito de [Basic {W} Energy]
1,43,Rule-Based (P1),⚔️ Kyogre(100/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,44,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,45,Random (P2),⚔️ Snover(90/90 HP) atacou com [Beat] o Kyogre(100/150 HP)
1,46,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](90/150 HP)
1,47,Rule-Based (P1),⚔️ Kyogre(90/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,48,Random (P2),⚔️ Snover(90/90 HP) atacou com [Beat] o Kyogre(90/150 HP)
1,49,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](80/150 HP)
1,50,Rule-Based (P1),⚔️ Kyogre(80/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,51,Random (P2),⚔️ Snover(90/90 HP) atacou com [Icy Snow] o Kyogre(80/150 HP)
1,52,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](50/150 HP)
1,53,Rule-Based (P1),⚔️ Kyogre(50/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,54,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,55,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,56,Random (P2),Passou o turno
1,57,Rule-Based (P1),⚡ Ligou a energia [Carta de Energia] no [Kyogre](50/150 HP)
1,58,Rule-Based (P1),⚔️ Kyogre(50/150 HP) atacou com [Riptide] o Snover(90/90 HP)
1,59,Random (P2),⚡ Ligou a energia [Carta de Energia] no [Snover](90/90 HP)
1,60,Random (P2),🃏 Jogou da mão a carta [Carta de Treinador/Pokémon]
1,61,Random (P2),🎯 Selecionou a carta [Carta Selecionada] por efeito de [Waitress]
1,62,Random (P2),🎯 Selecionou a carta [Carta Selecionada] por efeito de [Basic {W} Energy]
1,63,Random (P2),🧬 Evoluiu o [Snover](90/90 HP) para [Pokémon Evoluído]
1,64,Random (P2),⚔️ Mega Abomasnow ex(350/350 HP) atacou com [Hammer-lanche] o Kyogre(50/150 HP)
1,65,Random (P2),🏆 PEGOU A CARTA DE PRÊMIO [Carta de Prêmio Fechada]
1,66,Rule-Based (P1),🔄 Promoveu [Mega Abomasnow ex](350/350 HP) para o Campo Ativo
