Partida,Turno,Agente,Ação Executada,Índice Escolhido
1,1,Rule-Based (P1),YES,[0]
1,2,Rule-Based (P1),SELECIONAR_CARTA,[0]
1,3,Random (P2),SELECIONAR_CARTA,[0]
1,4,Rule-Based (P1),NUMBER,[0]
1,5,Rule-Based (P1),SELECIONAR_CARTA,[0]
1,6,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
1,7,Rule-Based (P1),PASSAR_TURNO,[0]
1,8,Random (P2),PASSAR_TURNO,[5]
1,9,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
1,10,Rule-Based (P1),EVOLUIR (Carta ID: Campo),[0]
1,11,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
1,12,Rule-Based (P1),SELECIONAR_CARTA,[0]
1,13,Rule-Based (P1),ATACAR (Ataque ID: 1046),[0]
1,14,Rule-Based (P1),SELECIONAR_CARTA,[0]
2,1,Rule-Based (P1),YES,[0]
2,2,Rule-Based (P1),SELECIONAR_CARTA,[0]
2,3,Random (P2),SELECIONAR_CARTA,[0]
2,4,Rule-Based (P1),NUMBER,[0]
2,5,Rule-Based (P1),SELECIONAR_CARTA,[0]
2,6,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
2,7,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
2,8,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
2,9,Rule-Based (P1),PASSAR_TURNO,[0]
2,10,Random (P2),LIGAR_ENERGIA (Carta ID: Mão),[6]
2,11,Random (P2),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
2,12,Random (P2),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
2,13,Random (P2),SELECIONAR_CARTA,[1]
2,14,Random (P2),PASSAR_TURNO,[1]
2,15,Rule-Based (P1),LIGAR_ENERGIA (Carta ID: Mão),[0]
2,16,Rule-Based (P1),EVOLUIR (Carta ID: Campo),[0]
2,17,Rule-Based (P1),JOGAR_CARTA_MAO (Carta ID: Treinador/Pokémon),[0]
2,18,Rule-Based (P1),SELECIONAR_CARTA,[0]
2,19,Rule-Based (P1),EVOLUIR (Carta ID: Campo),[0]
2,20,Rule-Based (P1),ATACAR (Ataque ID: 1046),[0]
2,21,Rule-Based (P1),SELECIONAR_CARTA,[0]
3,1,Rule-Based (P1),YES,[0]
3,2,Random (P2),SELECIONAR_CARTA,[0]
